id,message,original,genre
2,Weather update - a cold front from Cuba that could pass over Haiti,Un front froid se retrouve sur Cuba ce matin. Il pourrait traverser Haiti demain. Des averses de pluie isolee sont encore prevues sur notre region ce soi,direct
7,Is the Hurricane over or is it not over,Cyclone nan fini osinon li pa fini,direct
8,Looking for someone but no name,"Patnm, di Maryani relem pou li banm nouvel li ak timoun yo. Mesi se john jean depi Monben kwochi.",direct
9,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,UN reports Leogane 80-90 destroyed. Only Hospital St. Croix functioning. Needs supplies desperately.,direct
12,"says: west side of Haiti, rest of the country today and tonight",facade ouest d Haiti et le reste du pays aujourd hui et ce soir,direct
14,Information about the National Palace-,Informtion au nivaux palais nationl,direct
15,Storm at sacred heart of jesus,Cyclone Coeur sacr de jesus,direct
16,"Please, we need tents and water. We are in Silo, Thank you!",Tanpri nou bezwen tant avek dlo nou zon silo mesi.,direct
17,"I would like to receive the messages, thank you",Mwen ta renmen jouin messag yo. Merci,direct
18,I am in Croix-des-Bouquets. We have health issues. They ( workers ) are in Santo 15. ( an area in Croix-des-Bouquets ),"Nou kwadebouke, nou gen pwoblem sant m yo nan santo 15",direct
20,"There's nothing to eat and water, we starving and thirsty.",Bon repo pa gen anyen menm grangou swaf,direct
21,I am in Petionville. I need more information regarding 4636,M nan pv mvle plis enfomasyon sou 4636,direct
22,"I am in Thomassin number 32, in the area named Pyron. I would like to have some water. Thank God we are fine, but we desperately need water. Thanks",Mwen thomassin 32 nan pyron mwen ta renmen jwen yon ti dlo gras a dieu bo lakay mwen anfom se sel dlo nou bezwen,direct
24,"Let's do it together, need food in Delma 75, in didine area",Ann fel ansanm bezwen manje nan delma 75 nan riyel didine,direct
25,More information on the 4636 number in order for me to participate. ( To see if I can use it ),gen plis enfomasyon sou 4636 la pom w sim ap ka patisipe.,direct
26,"A Comitee in Delmas 19, Rue ( street ) Janvier, Impasse Charite #2. We have about 500 people in a temporary shelter and we are in dire need of Water, Food, Medications, Tents and Clothes. Please stop by and see us.","Komite katye delma 19 rue janvier imp charite no 2. Nou genyen 500 moun ki nan abri pwovizwa. Nou bezwen dlo, manje, medikaman, tant, vtman. Tanpri vizite n.",direct
27,We need food and water in Klecin 12. We are dying of hunger. Impasse Chretien Klecin 12 extended ( extension ) We are hungry and sick.,Nou bezwen mange avek dlo nan klcin 12 LA LAFIN AP TU NOU IMPASSE chrtien klcin 12 pwolonge nou gwangou nou malad,direct
28,are you going to call me or do you want me to call ou? let me know?,Eske se rele nap relem oubyen se mwen kap rele nou?si se mwen eske,direct
30,I don't understand how to use this thing 4636.,Mwen pa konprann koman pou m itilize bagay 4636 la,direct
31,I would like to know if the earthquake is over. Thanks,Mwen ta remen connin si trenblem de terre afini oke,direct
32,I would like to know if one of the radio ginen Journalist died?,Mwen ta renmen konnen eske ge jounalis radyo ginen ki mouri.,direct
33,"I'm in Laplaine, I am a victim",Mwen laplan mwen viktim kot yap bay d pou latranbl,direct
34,"There's a lack of water in Moleya, please informed them for me.",Nan moleya pa gen dlo svp f konnen sa pou mwen.,direct
35,Those people who live at Sibert need food they are hungry.,nou menm nan sibert nou grangou nou bezwen mange,direct
36,"I want to say hello, my message is to let you know that there's an area in faustin Anhy street that has nothing neither food, water and medicine,",Mwen salye nou dab mesaj mwen an se jis nou gen yen faustin 1re rue anhy 1re kipa jwenn an yen ni vizit ni dlo e moun yo dan le bezyon yap achte ti sa,direct
37,Can you tell me about this service,Can you tell me about this service,direct
38,"People I'm at Delma 2, we don't anything what so ever, please provide us with some food, water, and medicine",MEZANMI MWEN MWEN NAN DELMA 2 NOU TR MAN MAL NOU PA JAN M JWEN ANY,direct
39,"We are at Gressier we needs assistance right away. ASAP, Come help us.",Se gressier nou an difikilte tanpri vin ede nou,direct
41,How can we get water and food in Fontamara 43 cite Tinante?,Comment nou ka jwen dlo ak manje nan font 43 cite tinante,direct
42,We need help. Carrefour has been forgotten completely. The foul odor is killing us. Just letting you know. Thanks!!,Nap di secours yo bliye kafou net sant m ap touye moun fe mesage la pase ok mersi.,direct
43,"Good evening, Radio one please. I would like information on Tiyous.",Bonswa radio one svp eskew pap k enfomasyon sou tiyous.,direct
44,"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food.",We have a many probleme a baout delmas 75 aveny albert jode the pepole need some weater some food and medcin Iwat my name rejinald,direct
45,"I'm here, I didn't find the person that I needed to send the pant by phone",Mwen la moun poum te voye pantalon mwen pa jwenn yo pa telefon,direct
46,People have been sleeping outdoors in a field near Lilavois since 12 Jan. No coords on Lilavois but apparently it is near PaP,ofit des habitants qui dorment a la belle etoile sur le terrain de Lilavois depuis le 12 janvier.,direct
47,"We want you to know that Carrefour need help, we starving to death.",koufou poko jwenn ankenn ed nap mouri grangou men nou gen dlo ok.,direct
48,"How we can find food and water? we have people in many differents needs, and also for medicine at Fontamara 43 cite Tinante.",Comment nou ka jwen dlo ak manje nou gen moun ki gen tout kalte pwoblem nan fontamara 43 cite tinante,direct
49,"Delmas 33 in Silo, need water.",Delma 33 silo gen problem dlo,direct
50,I would like to get help at Cote Plage in Carrefour,Mwen ta renmen yo vizite cote plage carrefour,direct
51,"I am in Leoganes, where can I get food? Please",mwen leyogan ki kote ki gen manje tanpri,direct
52,"The Comite Miracle in the area of Alerte Rue Monseigneur Guilloux, ( Streets, Alerte and the cross street is Mgr Guilloux ) would like to urgently receive food, water and tents for the people in that area. Thanks",komite mirak ki tabli nan zone alerte mgr guilloux ta renmen resevwa prese prese dlo manje ak tant pou moun nan zone nan,direct
53,"People from Dal blocked since Wednesday in Carrefour, we having water shortage, food and medical assistance.",moun sou dal blok fo mekredi nan kfou fy gen pwoblem dlo manje remed,direct
54,"In Jacmel it's not working at all, because people are dying of hunger.",n jakmel sa pa mache ditou paske moun yo ap mouri grangou,direct
56,We have no one everybody is dead.,nou a gen peson tout moun mouri,direct
57,"We don't talk about Petit-Goave, Please, look into Petit-Goave.",Nou pa janm pale de tigwav otorite yo voye je nou sou tigwav se chausler st jean.,direct
58,"Good evening, is the earthquake end?",Bonswa eske tanbleman te fini,direct
60,"People in Fontamara 27 in impass area Pierre Louis having lots of difficulties, please help, ASAP.",moun fontamara 27 zon impass pierre louis nan problem. sos.,direct
61,"Good evening, I congratulate you for all the good work and with strenght i'm listening from Matisan 1, we have water and food shortage but God provided his grace upon us.",Bonswa mwen felisite nou pou bon travay sa malgre tou kouraj map kouten matisan 1 nou gen problem mange ak dlo men bondye te fe nou gras,direct
62,how can we find aid and food in fontamara ( carrefour ),Koman nou ka jwenn sekou ak manje nan fontamara 43 ru menos cite la bel,direct
63,"Am listening to radio in Jacmel. Need help to remove dead bodies at Colege la Trinite-universite, the bodies are the professors and students","Mwen ap koute radyo wa jakmel map pou vini ede nou retire kadav anba dekonb kolj La trinite ki te loje inivsite inasmo, kadav yo se etidyan ak pwofes t",direct
